15
Challenger 797 DODGE 2021 95000 12000
Charger 492 DODGE 2019 32500 51000
Veloster 1204 HYUNDAI 2020 23000 74560
M4 510 BMW 2021 86000 67440
Elantra 115 HYUNDAI 2023 28000 10
Passat 300 VOLKSWAGEN 2010 13500 98000
Astra 280 OPEL 2019 9500 65000
RS7 560 AUDI 2013 52500 100036
Mustang 466 FORD 2021 52500 17400
Vesta 113 LADA 2020 11950 79583
Corvette 495 CHEVROLET 2024 145350 11
Golf 140 VOLKSWAGEN 2013 11950 124177
Supra 387 TOYOTA 2022 85000 56
X6M 625 BMW 2021 123000 14000
Logan 82 RENAULT 2017 7950 73602
